Designator,Footprint,Quantity,Value,LCSC Part #
+3V3,TestPoint_Pad_D1.0mm,1,+3V3,
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Chip,
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,BTN1,C318884
"C1, C11, C12, C13, C19, C22, C24, C9",0402,8,0.1uF,C1525
"C10, C20, C7, C8",0402,4,12pF,C1547
"C14, C16, C18",0402,3,1uF,C52923
"C15, C2, C25, C26, C27, C28, C29, C30, C31, C32",0402,10,10uF,C15525
C17,0402,1,10nF,C15195
"C21, C23",0402,2,15pF,C1548
"C33, L5, R2",0402,3,DNP,
"D1, D2, D3",0603,3,LED,C2286
D5,D_SMA,1,SS14,C2480
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash1,C318884
GND1,TestPoint_Pad_D1.0mm,1,GND,
"H1, H2, H3, H4",MountingHole_2.1mm,4,MountingHole,
"J1, J5",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J2,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C19274016
"J3, J7",PinHeader_1x18_P2.54mm_Vertical,2,Conn_01x18_Pin,
J6,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L2,0402,1,10nH,C77103
L3,0402,1,4.7nH,C13595
Q2,SOT-23,1,AO3401A,C15127
"R10, R14",0402,2,33,C25105
"R11, R12, R13",0402,3,10K,C25744
R15,0402,1,2K,C4109
"R16, R18",0402,2,200K,C25764
R17,0402,1,100K,C25741
"R3, R4, R9",0402,3,470,C25117
R6,0402,1,1K,C11702
"R7, R8",0402,2,5.1K,C25905
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,Reset1,C318884
U1,OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,HS96L03W2C03,C5248080
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SENSOR-SMD_L3.0-W3.0-P1.00-BR,1,AHT20_C2757850,C2757850
U5,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3FN8,C2913196
U6,SOT-23-5,1,MCP73831-2-OT,C296277
X1,CRYSTAL-SMD_4P-L2.5-W2.0-BL-1,1,L225S400L11L,C5261125
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
