Designator,Mid X,Mid Y,Rotation,Layer
+3V3,145.45,-110.9075,0.0,top
AE1,153.9,-86.0,0.0,top
BTN1,145.23,-123.0,270.0,top
C1,136.25,-116.06,270.0,top
C10,136.52,-97.945,180.0,top
C11,140.52,-97.0,0.0,top
C12,149.25,-91.75,225.0,top
C13,146.5,-91.25,90.0,top
C14,144.1,-90.75,270.0,top
C15,143.0,-90.75,90.0,top
C16,153.37,-93.89,180.0,top
C17,153.37,-94.89,180.0,top
C18,143.25,-103.5,90.0,top
C19,146.0,-108.9,270.0,top
C2,135.0,-116.06,270.0,top
C20,136.98,-101.305,270.0,top
C21,154.25,-90.75,90.0,top
C22,138.5,-90.75,90.0,top
C23,151.5,-93.0,315.0,top
C24,143.6,-128.5,0.0,top
C25,143.6,-133.7,0.0,top
C26,140.3,-107.0,180.0,top
C27,137.57,-116.06,270.0,top
C28,133.75,-116.1,270.0,top
C29,143.6,-135.0,0.0,top
C30,136.9,-144.8,270.0,top
C31,136.5,-138.75,180.0,top
C32,138.8,-137.6,180.0,top
C7,156.2,-99.9,180.0,top
C8,156.0,-94.75,180.0,top
C9,152.5,-100.25,90.0,top
D1,143.41,-111.7425,90.0,top
D2,135.7775,-90.0975,270.0,top
D3,138.76,-145.2225,90.0,top
D5,140.94,-131.08,0.0,top
FLASH1,153.05,-123.0,270.0,top
GND1,140.5,-117.0,0.0,top
H1,192.5,-82.5,0.0,top
H2,192.5,-143.25,0.0,top
H3,125.0,-142.75,0.0,top
H4,125.0,-82.5,0.0,top
J1,160.75,-134.06,0.0,top
J2,147.0,-142.6675,0.0,top
J3,125.5,-115.94,0.0,top
J5,172.0,-134.06,0.0,top
J6,130.74,-142.3,180.0,top
J7,194.25,-117.48,0.0,top
L2,148.015,-90.75,0.0,top
L3,152.5,-91.5,45.0,top
Q2,139.29,-135.0275,90.0,top
R10,146.5,-134.75,90.0,top
R11,151.5,-118.25,0.0,top
R12,144.25,-118.25,0.0,top
R13,134.74,-118.5,180.0,top
R14,147.5,-134.75,90.0,top
R15,140.25,-141.75,90.0,top
R16,136.5,-136.5,270.0,top
R17,141.75,-134.5,270.0,top
R18,136.5,-134.25,270.0,top
R3,143.49,-114.25,180.0,top
R4,137.75,-89.25,0.0,top
R6,139.25,-138.75,180.0,top
R7,149.25,-136.5,0.0,top
R8,144.75,-136.0,180.0,top
R9,154.25,-100.5,270.0,top
RESET1,137.3,-123.0,270.0,top
U1,173.5,-108.7775,0.0,top
U2,137.55,-111.17,180.0,top
U3,151.7875,-107.335,90.0,top
U4,182.0,-134.0,0.0,top
U5,147.33,-98.0,0.0,top
U6,137.7925,-141.59,90.0,top
X1,156.155,-97.54,270.0,top
X2,138.73,-99.405,90.0,top
